origin_zip3,destination_zip3,trailer_type,carrier_type,avg_rate,min_rate,max_rate,count
462,606,Reefer,Broker,4.55,2.9400000000000004,6.34,2
462,606,Van,Asset,3.29,1.5350000000000001,4.734999999999999,2
462,606,Van,Broker,3.415,2.11,5.42,2
482,606,Flatbed,Asset,4.335,2.41,5.61,2
482,606,Flatbed,Broker,3.08,1.97,4.529999999999999,2
482,606,Reefer,Asset,2.315,1.615,3.2,2
482,606,Reefer,Broker,3.0549999999999997,1.66,5.699999999999999,2
482,606,Van,Asset,1.93,1.52,2.58,2
482,606,Van,Broker,2.33,1.46,3.33,2
554,606,Flatbed,Asset,1.76,1.1749999999999998,2.8600000000000003,2
554,606,Flatbed,Broker,1.52,0.81,1.9,2
554,606,Reefer,Asset,3.26,2.705,4.57,2
554,606,Reefer,Broker,3.7199999999999998,2.8,4.19,2
554,606,Van,Asset,2.59,1.72,3.08,2
554,606,Van,Broker,2.37,1.43,3.58,2
606,100,Flatbed,Asset,0.0,0.0,0.0,2
606,100,Flatbed,Broker,3.28,2.45,3.855,2
606,100,Reefer,Asset,0.0,0.0,0.0,2
606,100,Reefer,Broker,3.5999999999999996,1.8,4.85,2
606,100,Van,Asset,2.625,1.9500000000000002,3.005,2
606,100,Van,Broker,3.5999999999999996,1.92,5.35,2
606,191,Flatbed,Asset,2.9699999999999998,2.335,3.085,2
606,191,Flatbed,Broker,2.76,1.025,3.66,2
606,191,Reefer,Asset,3.175,2.31,4.8,2
606,191,Reefer,Broker,3.97,3.2,4.51,2
606,191,Van,Asset,2.87,2.255,3.4699999999999998,2
606,191,Van,Broker,2.92,2.33,4.05,2
606,303,Flatbed,Asset,2.575,1.935,3.52,2
606,303,Flatbed,Broker,2.3049999999999997,1.59,2.7199999999999998,2
606,303,Reefer,Asset,3.24,2.5700000000000003,4.41,2
606,303,Reefer,Broker,3.88,2.92,4.9,2
606,303,Van,Asset,2.54,2.12,3.1399999999999997,2
606,303,Van,Broker,2.9000000000000004,2.19,3.6900000000000004,2
606,331,Flatbed,Asset,2.6799999999999997,1.915,2.9050000000000002,2
606,331,Flatbed,Broker,2.07,1.01,2.6500000000000004,2
606,331,Reefer,Asset,2.85,2.4000000000000004,3.2,2
606,331,Reefer,Broker,2.9400000000000004,2.6799999999999997,3.27,2
606,331,Van,Asset,2.785,2.48,3.75,2
606,331,Van,Broker,2.62,1.27,3.67,2
606,381,Flatbed,Asset,2.4850000000000003,1.65,3.6100000000000003,2
606,381,Flatbed,Broker,1.83,1.375,2.77,2
606,381,Reefer,Asset,2.8200000000000003,2.31,4.800000000000001,2
606,381,Reefer,Broker,3.5149999999999997,2.88,4.4,2
606,381,Van,Asset,2.3899999999999997,1.51,3.4299999999999997,2
606,381,Van,Broker,2.44,2.01,3.51,2
606,441,Flatbed,Asset,3.37,2.3899999999999997,4.41,2
606,441,Flatbed,Broker,3.2199999999999998,1.96,4.470000000000001,2
606,441,Reefer,Asset,3.42,2.42,5.154999999999999,2
606,441,Reefer,Broker,4.41,3.3499999999999996,5.98,2
606,441,Van,Asset,3.015,2.27,4.65,2
606,441,Van,Broker,3.74,2.96,4.3100000000000005,2
606,462,Flatbed,Asset,4.205,2.485,5.984999999999999,2
606,462,Flatbed,Broker,3.55,2.4699999999999998,4.17,2
606,462,Reefer,Asset,5.710000000000001,4.385,7.71,2
606,462,Reefer,Broker,5.470000000000001,4.220000000000001,7.859999999999999,2
606,462,Van,Asset,3.35,2.41,4.83,2
606,462,Van,Broker,4.359999999999999,2.01,6.29,2
606,482,Flatbed,Asset,3.415,2.7,4.41,2
606,482,Flatbed,Broker,2.8600000000000003,2.0999999999999996,4.96,2
606,482,Reefer,Asset,5.045,2.295,6.87,2
606,482,Reefer,Broker,4.92,1.94,6.79,2
606,482,Van,Asset,3.55,2.535,5.359999999999999,2
606,482,Van,Broker,3.585,1.88,6.16,2
606,554,Flatbed,Asset,4.24,1.97,4.94,2
606,554,Flatbed,Broker,2.89,2.505,3.4450000000000003,2
606,554,Reefer,Asset,3.0250000000000004,1.9500000000000002,4.635,2
606,554,Reefer,Broker,2.76,2.0300000000000002,3.88,2
606,554,Van,Asset,2.675,1.81,3.7,2
606,554,Van,Broker,3.015,2.07,3.67,2
606,750,Flatbed,Asset,2.8200000000000003,1.95,5.02,2
606,750,Flatbed,Broker,2.09,1.885,2.58,2
606,750,Reefer,Asset,2.48,2.145,2.99,2
606,750,Reefer,Broker,2.79,1.52,5.18,2
606,750,Van,Asset,2.51,1.835,3.02,2
606,750,Van,Broker,2.4400000000000004,1.95,3.91,2
606,770,Flatbed,Asset,2.385,1.225,2.8,2
606,770,Flatbed,Broker,1.88,1.63,2.2800000000000002,2
606,770,Reefer,Asset,2.425,2.205,3.035,2
606,770,Reefer,Broker,2.6500000000000004,2.3099999999999996,3.05,2
606,770,Van,Asset,1.99,1.5750000000000002,2.59,2
606,770,Van,Broker,1.99,1.7,2.52,2
606,802,Flatbed,Asset,3.3449999999999998,2.5300000000000002,3.5149999999999997,2
606,802,Flatbed,Broker,3.01,2.6799999999999997,3.5,2
606,802,Reefer,Asset,2.79,2.0149999999999997,3.0300000000000002,2
606,802,Reefer,Broker,2.49,2.16,3.3600000000000003,2
606,802,Van,Asset,2.665,2.15,3.495,2
606,802,Van,Broker,2.99,1.19,4.29,2
606,850,Flatbed,Asset,2.415,1.8900000000000001,3.0949999999999998,2
606,850,Flatbed,Broker,2.15,1.585,2.35,2
606,850,Reefer,Asset,1.7349999999999999,1.365,2.16,2
606,850,Reefer,Broker,1.72,1.48,2.13,2
606,850,Van,Asset,1.625,1.295,1.93,2
606,850,Van,Broker,1.74,0.81,2.27,2
606,900,Flatbed,Asset,2.395,1.92,2.585,2
606,900,Flatbed,Broker,1.59,0.8700000000000001,2.175,2
606,900,Reefer,Asset,1.23,0.885,1.9100000000000001,2
606,900,Reefer,Broker,1.51,1.27,1.8599999999999999,2
606,900,Van,Asset,2.1399999999999997,1.295,2.175,2
606,900,Van,Broker,1.6099999999999999,1.04,2.21,2
606,941,Flatbed,Asset,0.0,0.0,0.0,2
606,941,Flatbed,Broker,1.87,0.79,4.04,2
606,941,Reefer,Asset,0.0,0.0,0.0,2
606,941,Reefer,Broker,1.355,1.17,1.75,2
606,941,Van,Asset,1.79,1.1400000000000001,2.24,2
606,941,Van,Broker,1.52,1.1300000000000001,2.38,2
606,981,Flatbed,Asset,0.0,0.0,0.0,2
606,981,Flatbed,Broker,1.7349999999999999,1.2650000000000001,1.94,2
606,981,Reefer,Asset,1.7,1.3250000000000002,2.23,2
606,981,Reefer,Broker,2.0,1.78,2.34,2
606,981,Van,Asset,2.05,1.58,3.2800000000000002,2
606,981,Van,Broker,1.79,1.27,2.45,2
641,750,Flatbed,Asset,2.58,1.8050000000000002,3.6950000000000003,2
641,750,Flatbed,Broker,2.49,1.96,2.8499999999999996,2
641,750,Reefer,Asset,3.05,2.19,3.6100000000000003,2
641,750,Reefer,Broker,4.1,2.6799999999999997,5.6899999999999995,2
641,750,Van,Asset,2.24,1.415,3.83,2
641,750,Van,Broker,1.9700000000000002,0.5800000000000001,2.86,2
750,100,Flatbed,Asset,0.0,0.0,0.0,2
750,100,Flatbed,Broker,2.29,1.475,3.035,2
750,100,Reefer,Asset,0.0,0.0,0.0,2
750,100,Reefer,Broker,1.895,0.6000000000000001,2.57,2
750,100,Van,Asset,0.0,0.0,0.0,2
750,100,Van,Broker,2.105,1.55,2.95,2
750,303,Flatbed,Asset,1.945,1.54,2.83,2
750,303,Flatbed,Broker,1.84,1.16,2.11,2
750,303,Reefer,Asset,2.175,1.75,3.02,2
750,303,Reefer,Broker,2.84,2.1550000000000002,4.18,2
750,303,Van,Asset,1.98,1.435,2.5,2
750,303,Van,Broker,2.4400000000000004,2.01,3.5599999999999996,2
750,331,Flatbed,Asset,2.38,1.73,3.05,2
750,331,Flatbed,Broker,1.875,1.65,2.3099999999999996,2
750,331,Reefer,Asset,2.78,2.26,3.375,2
750,331,Reefer,Broker,2.57,2.08,3.31,2
750,331,Van,Asset,2.25,1.945,2.7,2
750,331,Van,Broker,2.18,1.33,3.045,2
750,606,Flatbed,Asset,2.37,1.66,4.34,2
750,606,Flatbed,Broker,1.92,1.75,2.05,2
750,606,Reefer,Asset,1.635,1.45,1.82,2
750,606,Reefer,Broker,1.6099999999999999,1.29,2.12,2
750,606,Van,Asset,1.77,1.1749999999999998,1.9100000000000001,2
750,606,Van,Broker,1.545,0.64,2.0700000000000003,2
750,641,Flatbed,Asset,2.625,1.9449999999999998,3.455,2
750,641,Flatbed,Broker,2.75,1.6400000000000001,7.029999999999999,2
750,641,Reefer,Asset,1.725,1.455,2.02,2
750,641,Reefer,Broker,2.195,1.46,3.1799999999999997,2
750,641,Van,Asset,1.935,1.49,2.4699999999999998,2
750,641,Van,Broker,1.79,1.68,1.88,2
750,770,Flatbed,Asset,4.04,1.98,6.15,2
750,770,Flatbed,Broker,2.2,1.77,2.83,2
750,770,Reefer,Asset,4.075,2.375,4.48,2
750,770,Reefer,Broker,3.17,2.77,4.390000000000001,2
750,770,Van,Asset,3.565,1.68,4.33,2
750,770,Van,Broker,2.4299999999999997,0.95,4.45,2
750,802,Flatbed,Asset,3.67,1.885,5.79,2
750,802,Flatbed,Broker,2.92,1.8599999999999999,3.4400000000000004,2
750,802,Reefer,Asset,2.285,1.705,2.6799999999999997,2
750,802,Reefer,Broker,2.03,1.4049999999999998,4.83,2
750,802,Van,Asset,2.6900000000000004,1.845,3.325,2
750,802,Van,Broker,2.7800000000000002,2.0999999999999996,5.12,2
750,850,Flatbed,Asset,2.815,1.0350000000000001,5.17,2
750,850,Flatbed,Broker,2.4699999999999998,1.77,4.2,2
750,850,Reefer,Asset,1.94,1.49,2.42,2
750,850,Reefer,Broker,1.56,1.32,2.38,2
750,850,Van,Asset,1.345,0.8900000000000001,2.11,2
750,850,Van,Broker,1.34,1.06,1.83,2
750,900,Flatbed,Asset,2.78,1.745,4.595,2
750,900,Flatbed,Broker,2.1399999999999997,0.79,3.1799999999999997,2
750,900,Reefer,Asset,2.215,0.985,3.165,2
750,900,Reefer,Broker,1.52,1.11,3.17,2
750,900,Van,Asset,1.71,0.76,2.915,2
750,900,Van,Broker,0.96,0.76,1.73,2
750,981,Flatbed,Asset,2.435,1.8450000000000002,2.815,2
750,981,Flatbed,Broker,1.9649999999999999,1.5750000000000002,2.66,2
750,981,Reefer,Asset,1.875,1.23,2.505,2
750,981,Reefer,Broker,1.77,1.56,1.99,2
750,981,Van,Asset,2.3,1.7149999999999999,2.8,2
750,981,Van,Broker,1.62,1.01,2.0700000000000003,2
770,100,Flatbed,Asset,0.0,0.0,0.0,2
770,100,Flatbed,Broker,1.835,0.8400000000000001,2.415,2
770,100,Reefer,Asset,0.0,0.0,0.0,2
770,100,Reefer,Broker,2.25,1.97,3.34,2
770,100,Van,Asset,0.0,0.0,0.0,2
770,100,Van,Broker,1.85,1.1400000000000001,2.175,2
770,303,Flatbed,Asset,2.14,1.54,2.7350000000000003,2
770,303,Flatbed,Broker,1.92,1.42,2.38,2
770,303,Reefer,Asset,2.3200000000000003,2.19,3.18,2
770,303,Reefer,Broker,2.87,2.28,3.6500000000000004,2
770,303,Van,Asset,1.995,1.46,2.46,2
770,303,Van,Broker,2.24,1.88,3.27,2
770,331,Flatbed,Asset,2.8200000000000003,1.9449999999999998,4.57,2
770,331,Flatbed,Broker,1.97,0.97,2.49,2
770,331,Reefer,Asset,2.55,2.1149999999999998,2.715,2
770,331,Reefer,Broker,2.535,2.355,2.84,2
770,331,Van,Asset,2.3049999999999997,1.7850000000000001,2.745,2
770,331,Van,Broker,2.4400000000000004,0.95,3.73,2
770,606,Flatbed,Asset,2.11,1.46,3.12,2
770,606,Flatbed,Broker,1.68,1.11,1.95,2
770,606,Reefer,Asset,1.68,1.2349999999999999,2.25,2
770,606,Reefer,Broker,1.585,1.2650000000000001,2.13,2
770,606,Van,Asset,1.8399999999999999,1.74,1.99,2
770,606,Van,Broker,1.8599999999999999,1.51,2.6399999999999997,2
770,750,Flatbed,Asset,3.3049999999999997,2.1399999999999997,4.785,2
770,750,Flatbed,Broker,3.21,1.56,4.7,2
770,750,Reefer,Asset,2.79,2.365,3.16,2
770,750,Reefer,Broker,3.49,2.5999999999999996,3.83,2
770,750,Van,Asset,2.59,1.8399999999999999,4.495,2
